created_at,tweet_id,text,name,screen_name,language,lat,long
6/4/2018 1:44,1.00E+18,Joe Pitzer would love to show you the #listing at 1105 SW Lost Trail Dr #Pullman #WA  #r... https://t.co/i5n2gZdroR https://t.co/850Sa5dJYu,RE/MAX Home and Land,REMAX_Pullman,en,46.7268035,-117.1986721
6/4/2018 1:32,1.00E+18,"Rescue (elevator) [Etobicoke]
Albion Road
b/w Humber River Recreational Trail / Armel Crt
Dispatched: 03/06/18 @ 21… https://t.co/ISCv8RLMJO",Toronto Fire West,tofireW,en,43.7267943,-79.5521706
6/4/2018 1:32,1.00E+18,"Rescue (elevator) [Etobicoke]
Albion Road
b/w Humber River Recreational Trail / Armel Crt
Dispatched: 03/06/18 @ 21… https://t.co/BaFInkaZIV",Toronto Fire,tofire,en,43.7267943,-79.5521706
6/4/2018 1:15,1.00E+18,"Rosé all weekend with us Sat.,  June 9 and Sun., June 10. The Meramec River Wine Trail is hosting the Rosé  All Day… https://t.co/OevSdZ3Ke3",St. James Winery,StJamesWinery,en,38.0099,-91.6092
6/4/2018 1:15,1.00E+18,"Rosé all weekend with us Sat.,  June 9 and Sun., June 10. The Meramec River Wine Trail is hosting the Rosé  All Day… https://t.co/ubStogu3mu",St. James Winery,StJamesWinery,en,38.0099,-91.6092
6/3/2018 23:46,1.00E+18,"Alarm (residential) [Toronto]
Russell Hill Road
b/w Boulton Drive / Sir Winston Churchill Park Trail
Dispatched: 03… https://t.co/onzWliO8I5",Toronto Fire South,tofireS,en,43.6808244,-79.4029687
6/3/2018 23:46,1.00E+18,"Alarm (residential) [Toronto]
Russell Hill Road
b/w Boulton Drive / Sir Winston Churchill Park Trail
Dispatched: 03… https://t.co/5r5QbRJIF7",Toronto Fire,tofire,en,43.6808244,-79.4029687
6/3/2018 23:35,1.00E+18,I just finished trail running 4.34 miles in 1h:15m:23s with #Endomondo #endorphins https://t.co/NjnlYImjET,Sarah Joy,Sjoy88,en,47.67064427,-116.7818917
6/3/2018 23:23,1.00E+18,The Dodgers trailed the 1st place Rockies coming into this series by 4 but swept them to now trail them by 1. Since… https://t.co/YMWSazaFKG,Garz,garz76,en,36.05877141,-114.9672669
6/3/2018 22:52,1.00E+18,Drinking a Tripel Van De Garre by @guldendraak12 @ La Chua Trail &amp; Alachua Sink — https://t.co/ulXotIvc6k,Barrie Corp,barriecorp,en,29.6092,-82.3042
6/3/2018 22:12,1.00E+18,"Alarm (residential) [North York]
Viewmount Avenue
b/w Shermount Avenue / Viewmount Park Trail
Dispatched: 03/06/18… https://t.co/r70W31yqpm",Toronto Fire North,tofireN,en,43.708311,-79.4378817
6/3/2018 22:12,1.00E+18,"Alarm (residential) [North York]
Viewmount Avenue
b/w Shermount Avenue / Viewmount Park Trail
Dispatched: 03/06/18… https://t.co/6WSVEw430D",Toronto Fire,tofire,en,43.708311,-79.4378817
6/3/2018 20:48,1.00E+18,Can you recommend anyone for this #job? Restaurant Service &amp; Kitchen Team - 17th Ave Se &amp; Stoney Trail Se PX (60010… https://t.co/WxFmmdDkgx,TMJ-CAL HRTA Jobs,tmj_cal_hrta,en,51.0404753,-113.9130094
6/3/2018 20:42,1.00E+18,"Opened Road Repair request via android at 95 BEDDINGTON TR NE https://t.co/LZ8zYdq0Ma. Potholes, onramp/merge lane… https://t.co/0PQuIKVr00",311 Calgary,311calgary,en,51.13283,-114.067964
6/3/2018 20:34,1.00E+18,Opened Road Repair request via android at 2 BEDDINGTON TR NE https://t.co/6KXRufrZNL. Potholes just before bridge a… https://t.co/WgpFrjnVr5,311 Calgary,311calgary,en,51.134609,-114.071548
6/3/2018 20:26,1.00E+18,"Fire (grass/rubbish) [York]
Black Creek Boulevard
b/w Black Creek Trail / Sandcliff Road
Dispatched: 03/06/18 @ 16:… https://t.co/sPu243rGco",Toronto Fire West,tofireW,en,43.675952,-79.5006621
6/3/2018 20:26,1.00E+18,"Fire (grass/rubbish) [York]
Black Creek Boulevard
b/w Black Creek Trail / Sandcliff Road
Dispatched: 03/06/18 @ 16:… https://t.co/KgHaZoUANm",Toronto Fire,tofire,en,43.675952,-79.5006621
